id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
22,13,9,"Yegorov, Boris",ЕГОРОВ Борис Борисович,male,1937,Russia,civilian,Voskhod-1,1964,1,1,msp,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0.0,0.0,"Yegorov, Boris",88,1930,1960,27,1,0,0,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,0.0,2.0,225.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
23,14,10,"Belyayev, Pavel",БЕЛЯЕВ Павел Иванович,male,1925,Russia,military,TsPK-1,1960,1,1,commander,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,26.03,0,0.0,0.0,"Belyayev, Pavel",100,1920,1960,35,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
24,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,Russia,military,TsPK-1,1960,1,2,pilot,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,168.53,1,0.73,0.73,"Leonov, Aleksei",91,1930,1960,26,1,0,1,1,Couple,1,Short,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
25,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,Russia,military,TsPK-2,1960,2,2,commander,1975,Soyuz 19,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,168.53,0,0.0,0.73,"Leonov, Aleksei",91,1930,1960,26,1,0,1,1,Couple,1,Short,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
26,16,5,"Grissom, Virgil I.","Grissom, Virgil I.",male,1926,USA,military,NASA Astronaut Group 2,1959,1,1,commander,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,4.86,0,0.0,0.0,"Grissom, Virgil I.",99,1920,1950,33,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,0.0,120.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
27,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1962 NASA group 2,1962,1,6,pilot,1965,Gemini 3,Gemini 3,Gemini 3,Gemini 3,4.86,835.65,0,0.0,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
28,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1963 NASA group 2,1962,2,6,pilot,1966,Gemini 10,Gemini 10,Gemini 10,Gemini 10,70.77,835.65,0,0.0,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,5.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
29,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1964 NASA group 2,1962,3,6,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,835.65,0,0.0,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
30,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1965 NASA group 2,1962,4,6,commander,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16,265.85,835.65,3,20.23,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,8.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
31,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1966 NASA group 2,1962,5,6,commander,1981,STS-1,STS-1,STS-1,STS-1,54.5,835.65,0,0.0,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,10.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
32,17,6,"Young, John W.","Young, John W.",male,1930,USA,military,1967 NASA group 2,1962,6,6,commander,1983,STS-9,STS-9,STS-9,STS-9,240.0,835.65,0,0.0,20.23,"Young, John W.",95,1930,1960,32,1,0,1,1,Veteran,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,14.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
33,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,USA,military,NASA- 2,1962,1,2,commander,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.0,338.0,0,0.0,0.0,"McDivitt, James A.",96,1920,1960,33,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
34,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,USA,military,NASA- 2,1962,2,2,commander,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241.0,338.0,0,0.0,0.0,"McDivitt, James A.",96,1920,1960,33,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
35,19,8,"White, Edward H., II","White, Edward H., II",male,1930,USA,military,1962 NASA group 2,1962,1,1,pilot,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.93,97.93,1,0.33,0.33,"White, Edward H., II",95,1930,1960,32,1,0,1,0,Single,1,Short,Short,USA,0,0,0,0,0,38.0,1.0,5.0,4.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
36,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,USA,military,NASA- 2,1962,1,4,pilot,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.0,1179.0,0,0.0,12.77,"Conrad, Charles, Jr.",95,1930,1960,32,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
37,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,USA,military,NASA- 2,1962,2,4,commander,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.0,1179.0,0,0.0,12.77,"Conrad, Charles, Jr.",95,1930,1960,32,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
38,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,USA,military,NASA- 2,1962,3,4,commander,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.0,1179.0,2,7.75,12.77,"Conrad, Charles, Jr.",95,1930,1960,32,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
39,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,USA,military,NASA- 2,1962,4,4,commander,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2,673.0,1179.0,2,5.02,12.77,"Conrad, Charles, Jr.",95,1930,1960,32,1,0,1,1,Multiple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
40,21,10,"Borman, Frank","Borman, Frank",male,1928,USA,military,NASA- 2,1962,1,2,commander,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,477.0,0,0.0,0.0,"Borman, Frank",97,1920,1960,34,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
41,21,10,"Borman, Frank","Borman, Frank",male,1928,USA,military,NASA- 2,1962,2,2,commander,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,477.0,0,0.0,0.0,"Borman, Frank",97,1920,1960,34,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
42,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,USA,military,NASA- 2,1962,1,4,pilot,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,715.05,0,0.0,0.0,"Lovell, James A., Jr.",97,1920,1960,34,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
43,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,USA,military,NASA- 2,1962,2,4,commander,1966,Gemini 12,Gemini 12,Gemini 12,Gemini 12,94.0,715.05,0,0.0,0.0,"Lovell, James A., Jr.",97,1920,1960,34,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
44,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,USA,military,NASA- 2,1962,3,4,pilot,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,715.05,0,0.0,0.0,"Lovell, James A., Jr.",97,1920,1960,34,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
45,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,USA,military,NASA- 2,1962,4,4,commander,1970,Apollo 13,Apollo 13,Apollo 13,Apollo 13,142.0,715.05,0,0.0,0.0,"Lovell, James A., Jr.",97,1920,1960,34,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,139.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
46,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,USA,military,1996 NASA group,1962,1,4,pilot,1965,gemini 6A,gemini 6A,gemini 6A,gemini 6A,25.86,508.0,0,0.0,0.0,"Stafford, Thomas P.",95,1930,1960,32,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,5.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
47,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,USA,military,1996 NASA group,1962,2,4,commander,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72.0,508.0,0,0.0,0.0,"Stafford, Thomas P.",95,1930,1960,32,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
48,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,USA,military,1996 NASA group,1962,3,4,commander,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.0,508.0,0,0.0,0.0,"Stafford, Thomas P.",95,1930,1960,32,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
49,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,USA,military,1996 NASA group,1962,4,4,commander,1975,ASTP,ASTP,ASTP,ASTP,217.0,508.0,0,0.0,0.0,"Stafford, Thomas P.",95,1930,1960,32,1,0,1,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,1.0,0.0,49.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
50,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,USA,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,1,2,commander,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,11.0,206.0,0,0.0,2.51,"Armstrong, Neil A.",95,1930,1960,32,1,0,0,1,Couple,1,Short,Medium,USA,0,0,0,0,0,38.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
51,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,USA,civilian,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,2,2,commander,1969,Apollo 11,Apollo 11,Apollo 11,Apollo 11,195.0,206.0,1,2.52,2.51,"Armstrong, Neil A.",95,1930,1960,32,1,0,0,1,Couple,1,Short,Medium,USA,0,0,0,0,0,38.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
52,25,14,"Scott, David R.","Scott, David R.",male,1932,USA,military,1963 NASA group 3,1963,1,3,pilot,1966,Gemini 8,Gemini 8,Gemini 8,Gemini 8,240.68,546.0,0,0.0,19.9,"Scott, David R.",93,1930,1960,31,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,6.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
53,25,14,"Scott, David R.","Scott, David R.",male,1932,USA,military,1963 NASA group 3,1963,2,3,pilot,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241.0,546.0,1,1.13,19.9,"Scott, David R.",93,1930,1960,31,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,6.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
54,25,14,"Scott, David R.","Scott, David R.",male,1932,USA,military,1963 NASA group 3,1963,3,3,commander,1971,Apollo 15,Apollo 15,Apollo 15,Apollo 15,312.0,546.0,3,18.77,19.9,"Scott, David R.",93,1930,1960,31,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,6.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
55,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,USA,military,NASA- 3,1963,1,3,pilot,1966,Gemini 9A,Gemini 9A,Gemini 9A,Gemini 9A,72.0,565.0,1,2.12,24.18,"Cernan, Eugene A.",91,1930,1960,29,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,140.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
56,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,USA,military,NASA- 3,1963,2,3,pilot,1969,Apollo 10,Apollo 10,Apollo 10,Apollo 10,192.05,565.0,0,0.0,24.18,"Cernan, Eugene A.",91,1930,1960,29,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,5.0,140.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
57,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,USA,military,NASA- 3,1963,3,3,commander,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17,302.0,565.0,3,22.13,24.18,"Cernan, Eugene A.",91,1930,1960,29,1,0,1,1,Multiple,1,Medium,Long,USA,0,0,0,0,0,38.0,1.0,0.0,140.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
